postcode,lat,lon
BT36 4GX,54.6704978942871,-5.9801287651062
BT36 6UN,54.669046,-5.934066
BT36 7QZ,54.665962,-5.950281
BT41 4NA,54.724334,-6.2456
BT29 4UU,54.620505,-6.218766
BT41 4BB,54.713357,-6.21195
Bt41 4BA,54.7137184143066,-6.21578502655029
BT37 0ST,54.6768868,-5.8922091
BT29 4UR,54.620572,-6.216611
BT37 0HD,54.6883316040039,-5.91065883636475
BT36 4RF,54.683592,-5.990068
BT37 0GA,54.676755,-5.895904
BT39 9ES,54.749998,-6.012393
BT41 4DN,54.715284,-6.218895
BT37 0QB,54.6853904724121,-5.88303518295288
BT41 2ET,54.703259,-6.171592
BT37 9DY,54.662701,-5.924515
BT36 6BB,54.67708,-5.916277
BT36 5DZ,54.6723403930664,-5.95980405807495
BT37 9TF,54.656027,-5.910985
BT37 0HS,54.6895751953125,-5.91675281524658
BT37 0PS,54.68317,-5.882003
BT36 6XL,54.684215,-5.921602
BT29 4LA,54.6117324829102,-6.22159481048584
BT39 0BJ,54.7090644836426,-6.08270120620728
BT39 9JW,54.771224,-6.030296
BT41 4LL,54.730729,-6.232484
BT41 2NW,54.753604,-6.268643
BT41 3AB,54.749842,-6.319282
BT39 0QL,54.7380790710449,-6.04238700866699
BT36 4TQ,54.694586,-5.974789
BT41 4LL,54.7306092,-6.2328647
BT37 9UL,54.6547012329102,-5.9201340675354
BT37 9UH,54.6555,-5.917986
BT41 2AE,54.749798,-6.311564
BT36 4QN,54.682495,-6.013429
BT36 6QN,54.690061,-5.937186
BT39 9AB,54.750673,-5.997153
BT41 4NG,54.739236,-6.284334
BT39 0DX,54.722071,-6.1123089
BT37 0QA,54.687215,-5.882599
BT29 4YW,54.6684988,-6.1061613
BT41 2LH,54.755374,-6.230059
BT41 2LH,54.755374,-6.230059
BT41 3LH,54.721492,-6.362206
BT41 3LH,54.721492,-6.362206
BT39 9XD,54.7551116943359,-6.01187801361084
BT37 0DH,54.678296,-5.91071
BT41 4LD,54.724949,-6.230454
BT29 4EH,54.6680221557617,-6.1950478553772
BT29 4BH,54.643295,-6.208211
BT36 4RF,54.6833026,-5.9889369
BT41 1NP,54.7074312,-6.1813678
BT29 4XL,54.6208610534668,-6.21489810943604
BT29 4QA,54.618919,-6.226452
BT29 4LA,54.611732,-6.221595
BT29 4XL,54.621594,-6.215281
BT29 4XL,54.621594,-6.215281
BT29 4XL,54.621594,-6.215281
BT37 0NB,54.690895,-5.910838
BT41 3DG,54.759286,-6.328491
BT29 4UR,54.620572,-6.216611
BT37 9QU,54.668719,-5.911806
BT37 0PS,54.68317,-5.882003
BT41 4BE,54.714011,-6.214807
BT36 5EA,54.6767997741699,-5.96260404586792
BT39 0QT,54.736173,-6.041267
BT39 0QL,54.738078,-6.042386
BT39 0QL,54.7388687,-6.0429864
BT36 7QZ,54.665962,-5.950281
BT39 9BB,54.75272,-6.001432
BT41 4BA,54.713672,-6.215614
BT41 3AF,54.747642,-6.32192
BT36 6UN,54.669046,-5.934066
BT36 5HH,54.6782684326172,-5.96088600158691
BT41 2HA,54.69893,-6.142778
BT36 6UW,54.674823,-5.94354
BT41 3PH,54.751529,-6.454839
BT41 3RD,54.7508321,-6.414749
BT41 2JH,54.741666,-6.230238
BT37 0ST,54.677591,-5.890806
BT36 5US,54.688618,-5.95753
BT36 5US,54.688618,-5.95753
BT36 5US,54.688618,-5.95753
BT36 4QE,54.678923,-6.003354
BT37 9AH,54.661852,-5.916374
BT36 5EU,54.672415,-5.958932
BT36 7AU,54.665717,-5.972583
BT29 4UP,54.620417,-6.214001
BT29 4UP,54.620417,-6.214001
BT41 2HH,54.698372,-6.134535
BT36 4HQ,54.6677699,-5.9723589
BT29 4XL,54.621594,-6.215281
BT39 0AT,54.700674,-6.102798
BT36 7QT,54.66958,-5.957075
BT37 9BJ,54.663706,-5.918635
BT37 9QU,54.668719,-5.911806
BT36 7WU,54.668958,-5.984295
BT41 4JE,54.718412,-6.219658
BT36 4TY,54.679444,-5.99677
BT39 9HS,54.755108,-6.006239
BT39 9AA,54.751528,-5.999441
BT41 4AX,54.7142108,-6.2186187
BT39 9NG,54.7428644,-5.9041886
BT37 9NY,54.663841,-5.911359
BT39 9BB,54.75272,-6.001432
BT39 0DG,54.722505,-6.094716
BT41 4HW,54.7207043,-6.2154159
BT36 5DY,54.6716448,-5.9586008
BT36 5DA,54.675951,-5.969918
BT41 1BU,54.72287,-6.203941
BT41 1JW,54.713521,-6.188448
BT41 1PB,54.709721,-6.199991
BT41 4LL,54.730729,-6.232484
BT36 7RF,54.668353,-5.956206
BT41 4BA,54.713672,-6.215614
BT36 7AU,54.665717,-5.972583
BT29 4LA,54.611732,-6.221595
BT29 4AB,54.661554,-6.216257
BT36 6UW,54.674823,-5.94354
BT37 0EB,54.680413,-5.911035
BT36 5DY,54.671078,-5.957992
BT36 5DB,54.6768417358398,-5.97283697128296
BT36 6HG,54.6719055175781,-5.94998216629028
BT29 4DF,54.666244,-6.255127
BT29 4LQ,54.597308,-6.213357
BT36 6HL,54.671578,-5.957269
BT36 5HP,54.67954,-5.964265
BT36 6HJ,54.670972,-5.954369
BT36 6HJ,54.670972,-5.954369
BT36 6HJ,54.670972,-5.954369
BT36 5EY,54.672142,-5.958186
BT41 1NY,54.711189,-6.203806
BT37 9AE,54.6597653,-5.913709
BT41 4JE,54.718412,-6.219658
BT41 3BB,54.750456,-6.323372
BT37 9QJ,54.666184,-5.911765
BT41 3TJ,54.7655288,-6.4409918
BT36 7TS,54.6697508,-5.9576417
BT41 3TF,54.753776,-6.462006
BT29 4QP,54.615753,-6.2778
BT39 9UA,54.7737956,-5.9512822
BT39 9RT,54.720301,-6.005123
BT36 4RF,54.683592,-5.990068
BT41 3DL,54.775944,-6.327975
BT39 9AA,54.751527,-5.99944
BT41 2SJ,54.716125,-6.185384
BT41 1JW,54.713521,-6.188448
BT41 3EU,54.7851219177246,-6.36650800704956
BT41 3EU,54.7851219177246,-6.36650800704956
BT37 9UH,54.6555,-5.917986
BT39 9AA,54.751528,-5.999441
BT37 9UB,54.6521602,-5.9129676
BT39 9DF,54.761995,-5.988048
BT41 3AF,54.747642,-6.32192
BT39 9AA,54.7510461,-5.9986115
BT36 5LA,54.682892,-5.959507
BT41 3AB,54.749842,-6.319282
BT36 6JT,54.684141,-5.950978
BT29 4UU,54.6205062866211,-6.21876621246338
BT41 1DN,54.7268626,-6.2071663
BT36 6JS,54.682972,-5.950912
BT41 2EB,54.745458,-6.303809
BT41 4AE,54.715062,-6.21726
BT41 4LL,54.725867,-6.228645
BT37 9UH,54.6555,-5.917986
BT37 0HT,54.689078,-5.910264
BT37 0HF,54.685746,-5.908714
BT37 0HF,54.685746,-5.908714
BT41 2RJ,54.73411,-6.210011
BT39 9ZJ,54.752921,-6.000009
BT37 9UF,54.652822,-5.918525
BT37 0EY,54.6879115,-5.9124509
BT37 0LU,54.689977,-5.910218
BT36 4PY,54.67562,-6.002431
BT41 4AW,54.714979,-6.221422
BT37 9NY,54.663841,-5.911359
BT36 7TS,54.669873,-5.957897
BT41 3AF,54.747642,-6.32192
BT39 9BB,54.75272,-6.001432
BT29 4SJ,54.635484,-6.154686
BT36 5DA,54.6759452819824,-5.96992015838623
BT36 5EQ,54.672253,-5.960506
BT37 9ES,54.668094,-5.920395
BT41 3AB,54.749842,-6.319282
BT36 6AB,54.677037,-5.915349
BT39 9TU,54.771574,-5.952684
BT39 9TU,54.771574,-5.952684
BT41 4BG,54.713599,-6.211256
