postcode,lat,lon
BTB5 6SW,54.29280309000000,-6.37513798000000
BTB5 6SW,54.29280308999999,-6.37513798000000
BT94 5NG,54.2748323,-7.570184
BT94 5NF,54.28304900000000,-7.55462400000000
BT94 5NF,54.28304900000000,-7.55462300000000
BT94 5NF,54.283049,-7.554623
BT94 5HG,54.26917900000000,-7.55462000000000
BT94 5HG,54.26914340000000,-7.55471080000000
BT94 5HG,54.26900300000000,-7.55571100000000
BT94 5HG,54.26866300000000,-7.55606800000000
BT94 5HG,54.268663,-7.556068
BT94 5HG,54.26866200000000,-7.55606800000000
BT94 5GT,54.32312900000000,-7.53416500000000
BT94 5GT,54.323129,-7.534165
BT94 5GF,54.34808700000000,-7.50091200000000
BT94 5EX,54.32040400000000,-7.54755000000000
BT94 5EX,54.31852100000000,-7.54366800000000
BT94 5EX,54.318521,-7.543668
BT94 5EW,54.31648300000000,-7.54170800000000
BT94 5ER,54.31707920000000,-7.53776650000000
BT94 5ER,54.3170792,-7.5377665
BT94 5ER,54.31699600000000,-7.53720000000000
BT94 5ER,54.316996,-7.5372
BT94 5ER,54.31699500000000,-7.53720000000000
BT94 5ER,54.316995,-7.5372
BT94 5ER,54.31697800000000,-7.53717000000000
BT94 5EE,54.32068590000000,-7.54359640000000
BT94 5EE,54.3206859,-7.5435964
BT94 5EA,54.30685500000000,-7.53992600000000
BT94 5EA,54.30590200000000,-7.53990600000000
BT94 5EA,54.30590200000000,-7.53990500000000
BT94 5DZ,54.29308300000000,-7.53998700000000
BT94 5DY,54.29143560000000,-7.54147830000000
BT94 5DY,54.2914356,-7.5414783
BT94 5DW,54.31484100000000,-7.53757800000000
BT94 5DW,54.31484100000000,-7.53757700000000
BT94 5DW,54.314841,-7.537577
BT94 5DQ,54.28671100000000,-7.54653800000000
BT94 5BF,54.31377170000000,-7.54219780000000
BT94 5BF,54.3137717,-7.5421978
BT94 5BF,54.31377100000000,-7.54219900000000
BT94 5BE,54.31377200000000,-7.54219900000000
BT94 5AS,54.31751100000000,-7.53564200000000
BT94 4SJ,54.33123300000000,-7.47538500000000
BT94 4SJ,54.331233,-7.475385
BT94 4SA,54.29316900000000,-7.46507300000000
BT94 4RZ,54.29370600000000,-7.46462100000000
BT94 4RZ,54.29364300000000,-7.46463700000000
BT94 4RZ,54.293643,-7.464637
BT94 4RY,54.29865200000000,-7.46778200000000
BT94 4RY,54.29646600000000,-7.46696600000000
BT94 4RY,54.29646500000000,-7.46696500000000
BT94 4RY,54.296465,-7.466965
BT94 4RL,54.43896200000000,-7.65787000000000
BT94 4RG,54.29229900000000,-7.46539200000000
BT94 4RG,54.28993400000000,-7.46483900000000
BT94 4RG,54.28993300000000,-7.46483800000000
BT94 4RG,54.28987440000000,-7.46359430000000
BT94 4RG,54.2898744,-7.4635943
BT94 4PY,54.30747830000000,-7.46255130000000
BT94 4PY,54.3074783,-7.4625513
BT94 4PJ,54.43896200000000,-7.65787000000000
BT94 4PB,54.29218500000000,-7.47422300000000
BT94 4PB,54.292185,-7.474223
BT94 4PB,54.29217000000000,-7.47496100000000
BT94 4NY,54.29460200000000,-7.46422500000000
BT94 4NY,54.294602,-7.464225
BT94 4LN,54.30459360000000,-7.45039180000000
BT94 4LN,54.3045936,-7.4503918
BT94 4LL,54.29451400000000,-7.46451800000000
BT94 4LF,54.30598700000000,-7.44097300000000
BT94 4LF,54.30489500000000,-7.43983500000000
BT94 4LD,54.30044400000000,-7.43902000000000
BT94 4LD,54.29916000000000,-7.44295500000000
BT94 4JP,54.29592800000000,-7.42616600000000
BT94 4JP,54.29592700000000,-7.42616500000000
BT94 4HU,54.43896200000000,-7.65787000000000
BT94 4HU,54.31116300000000,-7.37179500000000
BT94 4HU,54.31116200000000,-7.37179400000000
BT94 4HU,54.311162,-7.371794
BT94 4HR,54.31286500000000,-7.37797600000000
BT94 4HR,54.312865,-7.377976
BT94 4HR,54.31251400000000,-7.37089900000000
BT94 4HL,54.31358420000000,-7.40831010000000
BT94 4HL,54.3135842,-7.4083101
BT94 4HL,54.31266100000000,-7.40884700000000
BT94 4HL,54.312661,-7.408847
BT94 4GW,54.33513641357420,-7.37794685363770
BT94 4GW,54.3351364135742,-7.3779468536377
BT94 4GH,54.32947200000000,-7.33510200000000
BT94 4GH,54.32856200000000,-7.33946600000000
BT94 4GH,54.32856100000000,-7.33946600000000
BT94 4GH,54.328561,-7.339466
BT94 4EZ,54.31516800000000,-7.40518500000000
BT94 4EZ,54.31512451171880,-7.40527820587158
BT94 4EZ,54.3151245117188,-7.40527820587158
BT94 4EZ,54.31512400000000,-7.40527800000000
BT94 4EZ,54.315124,-7.405278
BT94 4EZ,54.31512300000000,-7.40527700000000
BT94 4EZ,54.315123,-7.405277
BT94 4EZ,54.31494490000000,-7.40358890000000
BT94 4EZ,54.3149449,-7.4035889
BT94 4EX,54.31217200000000,-7.40980700000000
BT94 4EX,54.31217193603520,-7.40980720520020
BT94 4EU,54.31609300000000,-7.38891400000000
BT94 4EU,54.31406500000000,-7.39304700000000
BT94 4ET,54.31406500000000,-7.39304600000000
BT94 4ET,54.314065,-7.393046
BT94 4ER,54.29654600000000,-7.45303400000000
BT94 4ER,54.296546,-7.453034
BT94 4DW,54.34639300000000,-7.37274900000000
BT94 4DW,54.346393,-7.372749
BT94 4DW,54.34639200000000,-7.37274800000000
BT94 4DU,54.34007500000000,-7.37053900000000
BT94 4DU,54.33968300000000,-7.36959200000000
BT94 4DU,54.33968300000000,-7.36959100000000
BT94 4DU,54.339683,-7.369591
